scenario,strategy,months,mean_monthly,mean_monthly_ci_low,mean_monthly_ci_high,annualized_arithmetic_mean,annualized_volatility,annualized_sharpe_zero_rate,cumulative_compounded_return,maximum_drawdown,positive_month_fraction,gross_annualized_arithmetic_mean,annualized_modeled_transaction_cost
FAVORABLE,TSMOM_12M_SPOT_PRICE,167,-0.0008413549773408935,-0.0030953756495131716,0.0015699911797156013,-0.010096259728090723,0.06248263390221042,-0.16158505327883677,-0.15436881984041162,-0.2353059430192822,0.437125748502994,-0.009865531350180725,0.0002307283779099988
FAVORABLE,B0_CASH,167,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
FAVORABLE,B1_EXPANDING_MEAN_SIGN,167,-4.960695058497096e-06,-0.001984818876676857,0.0019713136750136575,-5.952834070196515e-05,0.0559697488276911,-0.0010635806296939005,-0.0223511037167059,-0.20596207960286528,0.5449101796407185,-2.028805044424377e-06,5.749953565754011e-05
FAVORABLE,B2_ALWAYS_LONG,167,-0.001961948793003673,-0.004748066750591249,0.0006661899851569039,-0.023543385516044076,0.0757957633928447,-0.31061611443927517,-0.30783893330172896,-0.3625327191956308,0.4491017964071856,-0.023539256333422656,4.129182621418053e-06
FAVORABLE,B2_ALWAYS_SHORT,167,0.0019612605959001034,-0.0006672817792389566,0.00474804954566366,0.023535127150801242,0.07579711425436084,0.3105016250595213,0.33328807862314025,-0.14365320254534109,0.5508982035928144,0.023539256333422656,4.129182621418053e-06
BASE,TSMOM_12M_SPOT_PRICE,167,-0.000848716946342762,-0.0031048119574468096,0.001563114499363842,-0.010184603356113143,0.06248309130252357,-0.16299775097237876,-0.15540924247218957,-0.23620362292175212,0.437125748502994,-0.009865531350180725,0.00031907200593241786
BASE,B0_CASH,167,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
BASE,B1_EXPANDING_MEAN_SIGN,167,-6.989112492527389e-06,-0.0019869273000441045,0.001969928690883263,-8.386934991032866e-05,0.055968278288022484,-0.0014985158106655063,-0.022681171149925294,-0.20618177584996633,0.5449101796407185,-2.028805044424377e-06,8.18405448659043e-05
BASE,B2_ALWAYS_LONG,167,-0.001962092558430725,-0.004748070344726926,0.0006654855345643466,-0.0235451107011687,0.07579548277395351,-0.31064002549317865,-0.3078553817736437,-0.3625327191956311,0.4491017964071856,-0.023539256333422656,5.854367746047561e-06
BASE,B2_ALWAYS_SHORT,167,0.0019611168304730507,-0.0006674219505303329,0.004748045951527984,0.02353340196567661,0.07579739802950163,0.3104777021041938,0.3332557308772295,-0.14365320254534075,0.5508982035928144,0.023539256333422656,5.854367746047561e-06
ADVERSE,TSMOM_12M_SPOT_PRICE,167,-0.0008630893078008417,-0.003121434589895376,0.001549881714252283,-0.0103570716936101,0.062484614042428166,-0.1657539516300359,-0.15743719139410706,-0.23795379579888498,0.437125748502994,-0.009865531350180725,0.0004915403434293769
ADVERSE,B0_CASH,167,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
ADVERSE,B1_EXPANDING_MEAN_SIGN,167,-1.087369519120433e-05,-0.0019906052868346176,0.001967071285769849,-0.00013048434229445197,0.05596529539945489,-0.0023315224437414996,-0.023312842375967535,-0.20660623532433686,0.5449101796407185,-2.028805044424377e-06,0.00012845553725002726
ADVERSE,B2_ALWAYS_LONG,167,-0.0019623790369059546,-0.004748077506688807,0.0006640817900357227,-0.023548548442871457,0.0757949252166595,-0.3106876664309388,-0.30788815831283356,-0.3625327191956309,0.4491017964071856,-0.023539256333422656,9.2921094487994e-06
ADVERSE,B2_ALWAYS_SHORT,167,0.0019608303519978213,-0.0006674971789673609,0.004748038789566103,0.023529964223973854,0.0757979651287093,0.31043002518627805,0.3331912721744985,-0.14365320254534097,0.5508982035928144,0.023539256333422656,9.2921094487994e-06
