currency,months,mean_monthly,mean_monthly_ci_low,mean_monthly_ci_high,annualized_arithmetic_mean,annualized_volatility,annualized_sharpe_zero_rate,cumulative_compounded_return,maximum_drawdown,positive_month_fraction,gross_annualized_arithmetic_mean,annualized_modeled_transaction_cost,annualized_turnover_units
AUD,167,0.00042788894836976745,,,0.005134667380437209,0.10815540484992472,0.047474903242810826,-0.009385543585173073,-0.2599226855545277,0.46706586826347307,0.005433522757110171,0.00029885537667296105,4.2395209580838324
CAD,167,-0.0012080388442636616,,,-0.01449646613116394,0.07606209133480192,-0.19058726728081873,-0.2147840810540116,-0.3073185373454771,0.46706586826347307,-0.014261757518095147,0.00023470861306879053,4.2395209580838324
CHF,167,-0.0018353888252747783,,,-0.02202466590329734,0.08522253710944602,-0.2584371065486167,-0.3006261313922204,-0.42940091216714893,0.46706586826347307,-0.021711885344740806,0.0003127805585565332,5.101796407185629
EUR,167,-0.0011074593282868618,,,-0.01328951193944234,0.07737142494746206,-0.17176253311175785,-0.20267414495751912,-0.26755536612503095,0.5029940119760479,-0.013089784830465575,0.00019972710897676603,4.6706586826347305
GBP,167,-0.0014363003979281307,,,-0.017235604775137567,0.08191857546639715,-0.21039922480350723,-0.2489739822806435,-0.2915992572532766,0.4431137724550898,-0.01708679894508104,0.0001488058300565272,3.520958083832335
JPY,167,0.0031533834255853396,,,0.03784060110702407,0.09144876442844199,0.4137901845205801,0.5966316828051406,-0.19653410174718122,0.562874251497006,0.0379588259189663,0.00011822481194222783,2.2275449101796405
NOK,167,-0.0009033411538683664,,,-0.010840093846420398,0.11663457276075227,-0.09294065721538877,-0.21746839956157382,-0.36451847523799763,0.5029940119760479,-0.010314212984084227,0.0005258808623361712,3.6646706586826348
NZD,167,-0.002742365287788659,,,-0.032908383453463905,0.11956820493705404,-0.2752268754957752,-0.42780600330838103,-0.5200575187260286,0.4311377245508982,-0.03248633709735273,0.00042204635611118154,4.2395209580838324
SEK,167,-0.0019868310536295068,,,-0.02384197264355408,0.09738568685786997,-0.24482009022897142,-0.3283393369952732,-0.37881095178641755,0.4491017964071856,-0.023231354107883476,0.0006106185356706027,4.526946107784431
