excluded_currency,months,mean_monthly,mean_monthly_ci_low,mean_monthly_ci_high,annualized_arithmetic_mean,annualized_volatility,annualized_sharpe_zero_rate,cumulative_compounded_return,maximum_drawdown,positive_month_fraction
AUD,167,-0.001008292683181828,,,-0.012099512198181936,0.06032141774586749,-0.2005840156005095,-0.1761263311319422,-0.2506591816089524,0.4431137724550898
CAD,167,-0.0008038017091026496,,,-0.009645620509231794,0.0646369839807931,-0.1492275770802981,-0.15066589072009617,-0.2344726510578986,0.437125748502994
CHF,167,-0.0007253829614762598,,,-0.008704595537715118,0.06597488881435228,-0.13193800996329239,-0.14043884702456655,-0.21243523641563078,0.4550898203592814
EUR,167,-0.0008163741485997494,,,-0.009796489783196992,0.06402824041072724,-0.15300263946587692,-0.15198129921288472,-0.2373979877782979,0.4311377245508982
GBP,167,-0.0007752690148945909,,,-0.00930322817873509,0.06441999873305813,-0.14441521828160162,-0.14645102761669626,-0.24080330635528202,0.4431137724550898
JPY,167,-0.0013489794928337746,,,-0.016187753914005294,0.06630541592119098,-0.24413924095198603,-0.2258665757462629,-0.2995710113626151,0.4251497005988024
NOK,167,-0.0008418889204020614,,,-0.010102667044824737,0.059581956699672416,-0.16955916865483342,-0.15237964549580896,-0.23401990359394442,0.4550898203592814
NZD,167,-0.0006120109036620248,,,-0.007344130843944298,0.0612461176755231,-0.11991177763875419,-0.12035059853717056,-0.2153568382408666,0.4431137724550898
SEK,167,-0.0007064526829319189,,,-0.008477432195183026,0.061414152964254586,-0.13803711011234202,-0.13428749940686568,-0.22339789386753495,0.4550898203592814
