currency,overlap_months,pearson_correlation,mean_absolute_return_difference,sign_agreement_fraction
AUD,179,0.8325698972033788,0.014471250485758752,0.8100558659217877
CAD,179,0.7968670107597242,0.011082765046257713,0.7597765363128491
CHF,179,0.7847682481452617,0.013263844806631793,0.776536312849162
EUR,179,0.7944747985880224,0.011218324682793825,0.8379888268156425
GBP,179,0.6968296875160026,0.013011406245610454,0.8379888268156425
JPY,179,0.7901194009123297,0.012597532486813976,0.7374301675977654
NOK,179,0.8030990804310421,0.015809585673455875,0.8100558659217877
NZD,179,0.8068482796252497,0.0166389829044468,0.8044692737430168
SEK,179,0.7931937151798351,0.01522823846728075,0.7821229050279329
